BPE: ini mä | Linguist: ini mä
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: dåpe | Linguist: dåpe
BPE: sin | Linguist: sin
BPE: unna | Linguist: unna
BPE: sin | Linguist: sin
BPE: ja | Linguist: ja
BPE: danne | Linguist: danne
BPE: unna | Linguist: unna
BPE: edna | Linguist: edna
BPE: mij | Linguist: mij
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: nagin | Linguist: nagin
BPE: gajk | Linguist: gajk
BPE: lä | Linguist: lä
BPE: muvne | Linguist: muvne
BPE: lä | Linguist: lä
BPE: vuopta | Linguist: vuopta
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: hålå | Linguist: hålå
BPE: muvne | Linguist: muvne
BPE: ij | Linguist: ij
BPE: lä | Linguist: lä
BPE: aktak | Linguist: aktak
BPE: vuopta | Linguist: vuopta
BPE: gu | Linguist: gu
BPE: almatj | Linguist: almatj
BPE: aktak | Linguist: aktak
BPE: almatj | Linguist: almatj
BPE: åbbå | Linguist: åbbå
BPE: hålå | Linguist: hålå
BPE: lä | Linguist: lä
BPE: lä | Linguist: lä
BPE: gu | Linguist: gu
BPE: men | Linguist: men
BPE: men | Linguist: men
BPE: ja | Linguist: ja
BPE: gokt | Linguist: gokt
BPE: jage | Linguist: jage
BPE: lä | Linguist: lä
BPE: jage | Linguist: jage
BPE: dä | Linguist: dä
BPE: del | Linguist: del
BPE: ja | Linguist: ja
BPE: stalpe | Linguist: stalpe
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: så | Linguist: så
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: guäkte | Linguist: guäkte
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ja | Linguist: ja
BPE: sjadda | Linguist: sjadda
BPE: dä | Linguist: dä
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: vuosta mos | Linguist: vuosta mos
BPE: v | Linguist: v
BPE: lä | Linguist: lä
BPE: båtsoj | Linguist: båtsoj
BPE: ja | Linguist: ja
BPE: villges | Linguist: villges
BPE: nåv | Linguist: nåv
BPE: njalga | Linguist: njalga
BPE: tjábba | Linguist: tjábba
BPE: máhtta | Linguist: máhtta
BPE: sáme | Linguist: sáme
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: gu | Linguist: gu
BPE: månnå | Linguist: månnå
BPE: ja | Linguist: ja
BPE: munje | Linguist: munje
BPE: lä | Linguist: lä
BPE: mij | Linguist: mij
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: maŋŋel | Linguist: maŋŋel
BPE: dä | Linguist: dä
BPE: nå | Linguist: nå
BPE: birra | Linguist: birra
BPE: dal | Linguist: dal
BPE: nå | Linguist: nå
BPE: del | Linguist: del
BPE: nä | Linguist: nä
BPE: mån | Linguist: mån
BPE: nå | Linguist: nå
BPE: gukte | Linguist: gukte
BPE: galga | Linguist: galga
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: man | Linguist: man
BPE: galga | Linguist: galga
BPE: danne | Linguist: danne
BPE: årro t | Linguist: årro t
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ber | Linguist: ber
BPE: muv | Linguist: muv
BPE: äddne=l | Linguist: äddne=l
BPE: dále | Linguist: dále
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: nå | Linguist: nå
BPE: dä | Linguist: dä
BPE: gu | Linguist: gu
BPE: nåv | Linguist: nåv
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lij | Linguist: lij
BPE: dal | Linguist: dal
BPE: navte | Linguist: navte
BPE: men | Linguist: men
BPE: buhtsu | Linguist: buhtsu
BPE: ij | Linguist: ij
BPE: lä | Linguist: lä
BPE: aj | Linguist: aj
BPE: men | Linguist: men
BPE: dä | Linguist: dä
BPE: månnå | Linguist: månnå
BPE: del | Linguist: del
BPE: dån | Linguist: dån
BPE: vanj | Linguist: vanj
BPE: aj | Linguist: aj
BPE: buhtsu | Linguist: buhtsu
BPE: ber | Linguist: ber
BPE: vuosta jd | Linguist: vuosta jd
BPE: dága | Linguist: dága
BPE: ja | Linguist: ja
BPE: aj | Linguist: aj
BPE: gajk | Linguist: gajk
BPE: vanj | Linguist: vanj
BPE: sáme | Linguist: sáme
BPE: danne | Linguist: danne
BPE: nä | Linguist: nä
BPE: ij | Linguist: ij
BPE: nuora | Linguist: nuora
BPE: lä | Linguist: lä
BPE: gu | Linguist: gu
BPE: gus | Linguist: gus
BPE: dån | Linguist: dån
BPE: nå | Linguist: nå
BPE: gu | Linguist: gu
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: badde | Linguist: badde
BPE: badde | Linguist: badde
BPE: birra | Linguist: birra
BPE: så | Linguist: så
BPE: badjel | Linguist: badjel
BPE: dalloj | Linguist: dalloj
BPE: vuoja v | Linguist: vuoja v
BPE: ja | Linguist: ja
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: jala | Linguist: jala
BPE: válda | Linguist: válda
BPE: jala | Linguist: jala
BPE: ja | Linguist: ja
BPE: ij | Linguist: ij
BPE: almatj | Linguist: almatj
BPE: aktak | Linguist: aktak
BPE: almatj | Linguist: almatj
BPE: danne | Linguist: danne
BPE: jala | Linguist: jala
BPE: ja | Linguist: ja
BPE: edna | Linguist: edna
BPE: máná | Linguist: máná
BPE: lä | Linguist: lä
BPE: gåhte | Linguist: gåhte
BPE: lä | Linguist: lä
BPE: almatj | Linguist: almatj
BPE: dä | Linguist: dä
BPE: dága | Linguist: dága
BPE: mån | Linguist: mån
BPE: maŋŋel | Linguist: maŋŋel
BPE: jus | Linguist: jus
BPE: stalpe | Linguist: stalpe
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: båtsoj | Linguist: båtsoj
BPE: máhtta | Linguist: máhtta
BPE: duv | Linguist: duv
BPE: dä | Linguist: dä
BPE: dále | Linguist: dále
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: gulla m | Linguist: gulla m
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: stuor | Linguist: stuor
BPE: mån | Linguist: mån
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ello | Linguist: ello
BPE: ello | Linguist: ello
BPE: ja | Linguist: ja
BPE: dága j | Linguist: dága j
BPE: dä | Linguist: dä
BPE: nåv | Linguist: nåv
BPE: edna | Linguist: edna
BPE: båtsoj | Linguist: båtsoj
BPE: dä | Linguist: dä
BPE: guäkte | Linguist: guäkte
BPE: ja | Linguist: ja
BPE: sjadda | Linguist: sjadda
BPE: dä | Linguist: dä
BPE: tjábba | Linguist: tjábba
BPE: máhtta | Linguist: máhtta
BPE: sáme | Linguist: sáme
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: mån | Linguist: mån
BPE: etj | Linguist: etj
BPE: dále | Linguist: dále
BPE: navte | Linguist: navte
BPE: lä | Linguist: lä
BPE: me jd | Linguist: me jd
BPE: men | Linguist: men
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: ja | Linguist: ja
BPE: li p | Linguist: li p
BPE: njalga | Linguist: njalga
BPE: ja | Linguist: ja
BPE: lä | Linguist: lä
BPE: huj | Linguist: huj
BPE: buorak | Linguist: buorak
BPE: giesse | Linguist: giesse
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: nåv | Linguist: nåv
BPE: buojde | Linguist: buojde
BPE: dä | Linguist: dä
BPE: guäkte | Linguist: guäkte
BPE: dåpe | Linguist: dåpe
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: ber | Linguist: ber
BPE: jus | Linguist: jus
BPE: galga | Linguist: galga
BPE: dä | Linguist: dä
BPE: galga | Linguist: galga
BPE: dalloj | Linguist: dalloj
BPE: dä | Linguist: dä
BPE: men | Linguist: men
BPE: åbbå | Linguist: åbbå
BPE: vuoras | Linguist: vuoras
BPE: lä | Linguist: lä
BPE: del | Linguist: del
BPE: mån | Linguist: mån
BPE: birra | Linguist: birra
BPE: ságastit | Linguist: ságastit
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: sisa | Linguist: sisa
BPE: gugu | Linguist: gugu
BPE: me j | Linguist: me j
BPE: nanne | Linguist: nanne
BPE: lä | Linguist: lä
BPE: mikkir | Linguist: mikkir
BPE: gierge | Linguist: gierge
BPE: nanne | Linguist: nanne
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: månnå | Linguist: månnå
BPE: gierge | Linguist: gierge
BPE: nanne | Linguist: nanne
BPE: mån | Linguist: mån
BPE: nanne | Linguist: nanne
BPE: ja | Linguist: ja
BPE: men | Linguist: men
BPE: del | Linguist: del
BPE: men | Linguist: men
BPE: ja | Linguist: ja
BPE: dále | Linguist: dále
BPE: sinne | Linguist: sinne
BPE: jala | Linguist: jala
BPE: almatj | Linguist: almatj
BPE: unna | Linguist: unna
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: att | Linguist: att
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: att | Linguist: att
BPE: lä | Linguist: lä
BPE: mån | Linguist: mån
BPE: stuor | Linguist: stuor
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: lij | Linguist: lij
BPE: nav | Linguist: nav
BPE: viesso t | Linguist: viesso t
BPE: men | Linguist: men
BPE: mån | Linguist: mån
BPE: diede | Linguist: diede
BPE: gåsse | Linguist: gåsse
BPE: mån | Linguist: mån
BPE: dån | Linguist: dån
BPE: hålå | Linguist: hålå
BPE: mån | Linguist: mån
BPE: lä | Linguist: lä
BPE: man | Linguist: man
BPE: mälgat | Linguist: mälgat
BPE: gu | Linguist: gu
BPE: mån | Linguist: mån
BPE: diede | Linguist: diede
BPE: nå | Linguist: nå
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: del | Linguist: del
BPE: nä | Linguist: nä
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: vanj | Linguist: vanj
BPE: dä | Linguist: dä
BPE: mån | Linguist: mån
BPE: gu | Linguist: gu
BPE: dä | Linguist: dä
BPE: jus | Linguist: jus
BPE: dä | Linguist: dä
BPE: dija | Linguist: dija
BPE: ja | Linguist: ja
BPE: jus | Linguist: jus
BPE: del | Linguist: del
BPE: vaj | Linguist: vaj
BPE: vaj | Linguist: vaj
BPE: mån | Linguist: mån
BPE: dä | Linguist: dä
BPE: ja | Linguist: ja
BPE: dä | Linguist: dä
BPE: ma jd | Linguist: ma jd
BPE: ini ga | Linguist: ini ga
BPE: måj | Linguist: måj
BPE: ma | Linguist: ma
BPE: dä | Linguist: dä
BPE: nuora | Linguist: nuora
BPE: ma | Linguist: ma
BPE: duv | Linguist: duv
BPE: gugu | Linguist: gugu
BPE: ma sa | Linguist: ma sa
BPE: lä | Linguist: lä
BPE: sisa | Linguist: sisa
BPE: buhtsu jd | Linguist: buhtsu jd
BPE: men | Linguist: men
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: danne | Linguist: danne
BPE: namma | Linguist: namma
BPE: lä | Linguist: lä
BPE: mij | Linguist: mij
BPE: lä | Linguist: lä
BPE: namma | Linguist: namma
BPE: almatj | Linguist: almatj
BPE: lä | Linguist: lä
BPE: dä | Linguist: dä
BPE: lä | Linguist: lä
BPE: ma | Linguist: ma
BPE: lä | Linguist: lä
